측정일시,SO2,CO,O3,NO2,PM10
2014-01-01,0.00955,0.6088333333333333,0.012798333333333333,0.03208,116.59
2014-01-02,0.007676666666666668,0.644,0.009726666666666666,0.037456666666666666,51.88333333333333
2014-01-03,0.00819,0.935,0.0034999999999999996,0.054953333333333326,59.14666666666667
2014-01-04,0.00597,0.5766666666666667,0.008495,0.033929999999999995,44.33166666666667
2014-01-05,0.0057350000000000005,0.6679999999999999,0.00745,0.03673833333333334,42.093333333333334
2014-01-06,0.008765,0.975,0.004215,0.05498,65.875
2014-01-07,0.010571666666666667,1.0833333333333333,0.0028766666666666667,0.06476666666666667,85.815
2014-01-08,0.007811666666666666,0.6941666666666667,0.011808333333333334,0.03526,68.59
2014-01-09,0.004168333333333333,0.30316666666666664,0.02223333333333333,0.016906666666666667,19.538333333333334
2014-01-10,0.006718333333333333,0.584,0.00735,0.04009,34.31
2014-01-11,0.00809,0.8276666666666667,0.005543333333333333,0.049394999999999994,49.63
2014-01-12,0.008408333333333334,0.7340000000000001,0.014208333333333333,0.03383166666666667,57.86333333333333
2014-01-13,0.004725,0.4071666666666667,0.015816666666666666,0.02624,27.35
2014-01-14,0.006561666666666667,0.644,0.009123333333333334,0.040078333333333334,41.35666666666667
2014-01-15,0.008086666666666666,0.7721666666666667,0.008655000000000001,0.04444833333333333,56.18
2014-01-16,0.010708333333333334,1.1098333333333334,0.0033466666666666666,0.05887833333333334,96.1
2014-01-17,0.009106666666666666,1.2670000000000001,0.005565,0.05804,117.33666666666666
2014-01-18,0.00735,0.5575,0.01869833333333333,0.025,56.125
2014-01-19,0.007946666666666666,0.6096666666666667,0.010028333333333332,0.03578666666666667,47.67
2014-01-20,0.00636,0.6888333333333334,0.007658333333333334,0.036575,63.72166666666667
2014-01-21,0.010841666666666668,0.7693333333333334,0.01591333333333333,0.029436666666666667,102.57166666666666
2014-01-22,0.009345,0.9484999999999999,0.00809,0.05099166666666667,93.99666666666666
2014-01-23,0.008505,0.9958333333333332,0.004866666666666667,0.05976833333333333,55.69333333333333
2014-01-24,0.008161666666666668,0.9655,0.0029083333333333335,0.06097166666666667,59.84666666666667
2014-01-25,0.006508333333333334,0.9061666666666668,0.006536666666666666,0.04676,49.48
2014-01-26,0.005053333333333333,0.415,0.018486666666666665,0.025025,33.96
2014-01-27,0.0072,0.7058333333333333,0.00493,0.050311666666666664,37.001666666666665
2014-01-28,0.005366666666666666,0.48533333333333334,0.011753333333333333,0.035515,29.85
2014-01-29,0.006428333333333334,0.7906666666666666,0.004711666666666667,0.054571666666666664,40.96333333333333
2014-01-30,0.006163333333333333,0.573,0.012063333333333336,0.03768,39.51833333333334
2014-01-31,0.005076666666666667,0.5061666666666667,0.012185,0.03284666666666667,22.53
2014-02-01,0.004676666666666667,0.6568333333333334,0.005311666666666667,0.04123,25.39
2014-02-02,0.004103333333333333,0.6965,0.008286666666666666,0.03285833333333334,19.878333333333334
2014-02-03,0.004178333333333333,0.3863333333333333,0.021231666666666666,0.016556666666666667,60.745
2014-02-04,0.004690000000000001,0.348,0.023238333333333333,0.015998333333333333,32.745
2014-02-05,0.006726666666666666,0.5148333333333334,0.014676666666666666,0.029830000000000002,41.16
2014-02-06,0.0062116666666666666,0.6805,0.008028333333333334,0.042885,46.47833333333333
2014-02-07,0.004683333333333334,0.4286666666666667,0.01651,0.026183333333333333,16.868333333333332
2014-02-08,0.003448333333333333,0.36200000000000004,0.019361666666666666,0.021655,9.455
2014-02-09,0.003666666666666667,0.4098333333333333,0.022451666666666665,0.019983333333333332,18.68
2014-02-10,0.004233333333333334,0.4581666666666667,0.020648333333333335,0.026901666666666664,25.576666666666664
2014-02-11,0.00437,0.44299999999999995,0.017425,0.029605000000000003,18.128333333333334
2014-02-12,0.004336666666666667,0.4671666666666667,0.011851666666666667,0.03551833333333333,21.606666666666666
2014-02-13,0.004505,0.4705,0.014038333333333333,0.03573666666666667,24.913333333333334
2014-02-14,0.004086666666666666,0.4115,0.018885,0.029808333333333336,17.846666666666668
2014-02-15,0.005105000000000001,0.5788333333333333,0.01474,0.03913666666666667,31.686666666666664
2014-02-16,0.007458333333333333,0.7641666666666667,0.012201666666666666,0.04871166666666667,58.62666666666667
2014-02-17,0.008746666666666666,0.7011666666666667,0.019208333333333334,0.042776666666666664,74.80666666666667
2014-02-18,0.004556666666666666,0.37516666666666665,0.024864999999999998,0.026683333333333333,20.39666666666667
2014-02-19,0.004543333333333333,0.4415,0.014513333333333333,0.035381666666666665,28.841666666666665
2014-02-20,0.007235,0.6916666666666668,0.017208333333333336,0.040848333333333334,64.73666666666666
2014-02-21,0.006913333333333334,0.6803333333333333,0.020805000000000004,0.039474999999999996,65.28833333333333
2014-02-22,0.008611666666666667,0.8741666666666668,0.019651666666666668,0.05047833333333333,90.92833333333334
2014-02-23,0.009399999999999999,0.9113333333333334,0.019655,0.047775,101.935
2014-02-24,0.01381,1.1401666666666666,0.014865,0.05898833333333333,155.065
2014-02-25,0.011718333333333332,1.2466666666666668,0.01024,0.06933500000000001,162.255
2014-02-26,0.009823333333333333,1.063,0.013823333333333333,0.06596166666666667,133.02
2014-02-27,0.00963,1.0173333333333334,0.016516666666666666,0.06042666666666666,113.96
2014-02-28,0.00861,0.8526666666666667,0.018823333333333334,0.04827,109.64166666666667
2014-03-01,0.008373333333333333,0.7555,0.011951666666666668,0.050664999999999995,90.28833333333334
2014-03-02,0.004626666666666667,0.3878333333333333,0.026283333333333336,0.021733333333333334,27.931666666666665
