측정일시,SO2,CO,O3,NO2,PM10,PM25
2012-01-01,0.0105983333333333,0.9218333333333334,0.0102433333333333,0.0329316666666666,81.35833333333333,
2012-01-02,0.00957,0.9841666666666667,0.0064666666666666,0.0384233333333333,93.545,
2012-01-03,0.0084266666666666,0.984,0.0077166666666666,0.0425716666666666,91.155,
2012-01-04,0.0114533333333333,0.6028333333333333,0.0177583333333333,0.0244099999999999,66.55666666666667,
2012-01-05,0.006555,0.6675,0.0106666666666666,0.0403566666666666,49.16666666666667,
2012-01-06,0.0083316666666666,0.8568333333333333,0.00739,0.046675,55.46,
2012-01-07,0.0093066666666666,1.0985,0.0043683333333333,0.0583266666666666,88.97166666666666,
2012-01-08,0.00933,1.1518333333333333,0.00482,0.05794,80.29833333333333,
2012-01-09,0.0226116666666666,1.087,0.0043933333333333,0.0430633333333333,114.38333333333334,
2012-01-10,0.0126,0.961,0.0092166666666666,0.0413733333333333,88.95333333333333,
2012-01-11,0.0100533333333333,0.5698333333333333,0.0162666666666666,0.0255883333333333,57.33833333333333,
2012-01-12,0.006855,0.6895,0.0074266666666666,0.04222,50.15833333333333,
2012-01-13,0.0102933333333333,0.863,0.009705,0.0419283333333333,64.08666666666667,
2012-01-14,0.0077033333333333,0.7141666666666667,0.0074833333333333,0.0425966666666666,40.27166666666667,
2012-01-15,0.0069483333333333,0.6445000000000001,0.012195,0.0318266666666666,48.01,
2012-01-16,0.0069916666666666,0.9533333333333333,0.0050133333333333,0.051885,55.765,
2012-01-17,0.0083316666666666,0.986,0.00359,0.0575,60.2,
2012-01-18,0.0175733333333333,1.217833333333333,0.0061766666666666,0.0547,119.44166666666666,
2012-01-19,0.009825,0.8441666666666667,0.0097283333333333,0.0462083333333333,68.90666666666667,
2012-01-20,0.0052183333333333,0.532,0.0185483333333333,0.026825,17.241666666666664,
2012-01-21,0.0050116666666666,0.6991666666666667,0.0137683333333333,0.030945,44.51833333333333,
2012-01-22,0.0046833333333333,0.4618333333333334,0.0236983333333333,0.0134183333333333,55.25,
2012-01-23,0.0042966666666666,0.374,0.0237283333333333,0.0133533333333333,25.523333333333333,
2012-01-24,0.0055633333333333,0.4345,0.0195983333333333,0.0222016666666666,25.44833333333333,
2012-01-25,0.005865,0.4436666666666666,0.0188833333333333,0.02061,25.845,
2012-01-26,0.0092133333333333,0.7811666666666666,0.0057116666666666,0.0448633333333333,45.78833333333333,
2012-01-27,0.0094916666666666,1.0313333333333334,0.0074,0.0470483333333333,83.90166666666666,
2012-01-28,0.0066549999999999,0.5758333333333333,0.0131233333333333,0.0322033333333333,37.30166666666666,
2012-01-29,0.0058483333333333,0.5760000000000001,0.0182766666666666,0.0263166666666666,44.05166666666667,
2012-01-30,0.00647,0.4871666666666667,0.0171816666666666,0.0237583333333333,36.236666666666665,
2012-01-31,0.006395,0.6535,0.01126,0.034425,44.00333333333333,
2012-02-01,0.009075,0.4901666666666666,0.0219333333333333,0.018855,45.035,
2012-02-02,0.007205,0.5143333333333333,0.01698,0.0236399999999999,42.51833333333333,
2012-02-03,0.0061416666666666,0.6988333333333333,0.009465,0.0398066666666666,37.98333333333333,
2012-02-04,0.008725,0.8173333333333334,0.01214,0.0413933333333333,50.91,
2012-02-05,0.0074783333333333,0.875,0.0086933333333333,0.0498266666666666,45.81333333333333,
2012-02-06,0.0074983333333333,1.0103333333333333,0.0054283333333333,0.0537766666666666,44.975,
2012-02-07,0.0055366666666666,0.4193333333333334,0.02031,0.0157166666666666,83.03166666666667,
2012-02-08,0.00511,0.4281666666666667,0.0175899999999999,0.021225,39.24666666666666,
2012-02-09,0.00573,0.5416666666666666,0.0141,0.03121,32.64833333333333,
2012-02-10,0.005975,0.6528333333333333,0.0146316666666666,0.0331016666666666,35.985,
2012-02-11,0.00654,0.5643333333333334,0.0149016666666666,0.0315733333333333,29.863333333333333,
2012-02-12,0.0059299999999999,0.6345,0.011045,0.0393933333333333,31.601666666666667,
2012-02-13,0.0088266666666666,0.7578333333333334,0.0106683333333333,0.0471316666666666,48.48333333333333,
2012-02-14,0.011535,0.9041666666666668,0.0171133333333333,0.042715,86.38666666666666,
2012-02-15,0.0059183333333333,0.5386666666666666,0.018025,0.0253516666666666,58.515,
2012-02-16,0.0058966666666666,0.5243333333333333,0.02109,0.0239766666666666,46.855,
2012-02-17,0.0051633333333333,0.4413333333333333,0.0231783333333333,0.0170283333333333,42.08833333333333,
2012-02-18,0.0054566666666666,0.4745,0.021755,0.018635,38.556666666666665,
2012-02-19,0.005985,0.5379999999999999,0.0187583333333333,0.0277116666666666,32.67,
2012-02-20,0.0082116666666666,0.7665000000000001,0.0098683333333333,0.047515,46.135,
2012-02-21,0.0096133333333333,1.0536666666666663,0.00445,0.059245,84.39666666666666,
2012-02-22,0.0092733333333333,0.9625,0.0111233333333333,0.0523099999999999,74.99666666666667,
2012-02-23,0.0081733333333333,0.7781666666666667,0.0204266666666666,0.0381616666666666,61.22333333333333,
2012-02-24,0.008215,0.9816666666666668,0.015375,0.0484016666666666,91.60666666666664,
2012-02-25,0.0056166666666666,0.6146666666666667,0.02193,0.02679,62.41833333333333,
2012-02-26,0.00441,0.4256666666666667,0.0273883333333333,0.018715,40.48166666666667,
2012-02-27,0.005195,0.5416666666666666,0.01877,0.0329166666666666,40.70166666666667,
2012-02-28,0.0059333333333333,0.7596666666666667,0.00901,0.0498866666666666,43.735,
2012-02-29,0.0061166666666666,0.7935,0.010785,0.05284,44.33166666666667,
2012-03-01,0.0066149999999999,0.7438333333333333,0.014055,0.052715,54.96,
