측정일시,SO2,CO,O3,NO2,PM10,PM25
2016-01-01,0.005771666666666667,0.9573333333333334,0.005823333333333334,0.04724333333333333,68.65833333333333,42.52833333333333
2016-01-02,0.0056700000000000006,0.7003333333333334,0.010315000000000001,0.04354333333333333,50.10666666666667,30.885
2016-01-03,0.006971666666666667,0.9201666666666667,0.013731666666666666,0.04883666666666667,104.57166666666666,57.775
2016-01-04,0.006,0.6153333333333334,0.02596,0.025288333333333336,73.04666666666667,46.185
2016-01-05,0.005728333333333333,0.42333333333333334,0.016465,0.024780000000000003,31.22,16.413333333333334
2016-01-06,0.006761666666666667,0.6618333333333334,0.007565,0.04056,55.285,29.38333333333333
2016-01-07,0.00602,0.5156666666666667,0.015791666666666666,0.026163333333333334,39.31,20.17833333333333
2016-01-08,0.006096666666666667,0.5256666666666667,0.013931666666666667,0.030058333333333333,33.46666666666667,17.886666666666667
2016-01-09,0.005896666666666666,0.5336666666666666,0.01409,0.031268333333333335,35.906666666666666,19.266666666666666
2016-01-10,0.005993333333333334,0.4843333333333333,0.020338333333333333,0.02579,32.115,18.64333333333333
2016-01-11,0.0059433333333333335,0.5103333333333333,0.016386666666666667,0.02804833333333333,40.255,20.598333333333336
2016-01-12,0.005716666666666667,0.5775,0.011811666666666666,0.035083333333333334,48.69,23.48
2016-01-13,0.005383333333333334,0.5488333333333333,0.013603333333333334,0.03192333333333333,37.24333333333333,19.96666666666667
2016-01-14,0.006173333333333333,0.5743333333333333,0.011425000000000001,0.03685,42.885,20.873333333333335
2016-01-15,0.006423333333333333,0.7656666666666666,0.00672,0.048933333333333336,50.51666666666667,29.326666666666664
2016-01-16,0.006021666666666667,0.8508333333333333,0.00536,0.04913666666666667,68.55666666666666,42.585
2016-01-17,0.005731666666666667,0.8646666666666667,0.007338333333333333,0.04647333333333333,69.445,46.44166666666667
2016-01-18,0.005353333333333333,0.5803333333333334,0.020868333333333332,0.023098333333333332,54.63,32.281666666666666
2016-01-19,0.005006666666666667,0.36450000000000005,0.024220000000000002,0.014933333333333333,32.76166666666666,12.641666666666667
2016-01-20,0.00526,0.5253333333333333,0.01381,0.031505,37.80833333333334,22.33
2016-01-21,0.005828333333333333,0.6579999999999999,0.010961666666666668,0.038496666666666665,51.215,29.851666666666667
2016-01-22,0.005920000000000001,0.618,0.014445,0.033895,49.565,27.435
2016-01-23,0.00547,0.3916666666666667,0.025913333333333333,0.015055,30.443333333333335,14.09
2016-01-24,0.005758333333333333,0.4255,0.024088333333333333,0.015286666666666665,38.34166666666667,19.315
2016-01-25,0.005593333333333334,0.5508333333333334,0.014235,0.03241,49.875,17.258333333333333
2016-01-26,0.007611666666666667,0.9075,0.00513,0.05502,78.27333333333333,36.998333333333335
2016-01-27,0.007285000000000001,0.7993333333333333,0.012244999999999999,0.046261666666666666,62.88166666666667,31.36
2016-01-28,0.006321666666666666,0.9426666666666667,0.005265,0.05582666666666666,58.195,30.671666666666667
2016-01-29,0.006751666666666667,0.7204999999999999,0.009081666666666667,0.04328333333333333,49.49333333333333,26.296666666666667
2016-01-30,0.0058133333333333335,0.7628333333333334,0.009430000000000001,0.04190833333333333,39.755,24.413333333333334
2016-01-31,0.005498333333333334,0.48483333333333334,0.025221666666666667,0.020298333333333335,38.725,20.616666666666664
2016-02-01,0.005511666666666667,0.4755,0.022000000000000002,0.02496,39.763333333333335,18.141666666666666
2016-02-02,0.0062250000000000005,0.5893333333333334,0.014358333333333332,0.03710166666666667,44.35666666666667,21.53
2016-02-03,0.006911666666666667,0.8763333333333334,0.00939,0.05528666666666667,56.31333333333333,30.221666666666664
2016-02-04,0.006725,0.8346666666666667,0.014911666666666667,0.043421666666666664,55.23333333333333,31.23
2016-02-05,0.006521666666666667,0.5895,0.01828166666666667,0.03552166666666667,44.425,20.76
2016-02-06,0.006526666666666666,0.522,0.024768333333333333,0.023571666666666668,49.92833333333333,24.296666666666667
2016-02-07,0.005846666666666667,0.5968333333333333,0.015396666666666668,0.03336666666666666,45.68833333333333,23.525
2016-02-08,0.007318333333333333,0.6708333333333333,0.02456166666666667,0.031281666666666666,72.36,40.776666666666664
2016-02-09,0.0066749999999999995,0.4681666666666667,0.027276666666666668,0.019821666666666668,49.02166666666667,25.211666666666666
2016-02-10,0.006013333333333334,0.7753333333333333,0.009016666666666668,0.046334999999999994,40.405,22.636666666666667
2016-02-11,0.006495,0.8215,0.007975,0.05170333333333334,45.91,24.543333333333337
2016-02-12,0.00499,0.743,0.009433333333333334,0.042265,32.93,20.913333333333334
2016-02-13,0.004905,0.7216666666666667,0.005615,0.03493333333333333,15.236666666666668,10.105
2016-02-14,0.00439,0.39149999999999996,0.023275,0.014233333333333334,29.456666666666663,17.095
2016-02-15,0.004236666666666667,0.3423333333333333,0.026646666666666666,0.01756833333333333,32.1,11.395
2016-02-16,0.004776666666666667,0.4545,0.018545,0.028223333333333333,26.9,15.016666666666667
2016-02-17,0.005383333333333334,0.5536666666666666,0.015221666666666666,0.03607833333333333,38.26833333333333,15.203333333333333
2016-02-18,0.006066666666666667,0.5966666666666667,0.02048,0.037706666666666666,43.91166666666667,22.138333333333335
2016-02-19,0.006698333333333334,0.9323333333333333,0.00779,0.04611166666666667,81.475,41.165
2016-02-20,0.00547,0.5433333333333333,0.02046333333333333,0.030748333333333332,44.99166666666667,18.046666666666667
2016-02-21,0.00498,0.39333333333333337,0.028868333333333333,0.018936666666666668,26.27,11.805
2016-02-22,0.005371666666666667,0.5411666666666667,0.010948333333333332,0.04252500000000001,42.94666666666667,17.865
